"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Median gross rent --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total:","807","1,201","1,101","742","1,614","1,369","1,177","1,116","1,603","1,238","1,049","1,651","880","1,020","840","808","862","773","866","870","1,401","1,360","888","1,016","777","834","831","859","1,168","1,147","1,376","847","1,309","931","804","813","814","1,185","951","1,043","922","769","904","1,091","1,098","980","1,254","1,359","727","867","822","482"
"        No bedroom","562","806","788","536","1,248","1,068","846","973","1,573","1,002","885","1,078","625","855","661","568","651","574","710","727","1,062","1,100","674","831","598","687","590","727","796","756","1,059","575","1,218","732","658","614","607","1,017","762","798","667","592","746","900","835","794","1,264","1,171","539","727","411","371"
"        1 bedroom","651","881","889","576","1,379","1,196","964","932","1,607","1,040","985","1,211","681","894","685","620","682","652","742","673","1,180","1,086","713","902","613","683","660","737","937","900","1,181","683","1,248","853","668","650","641","998","805","845","827","600","780","954","922","825","1,153","1,190","540","706","611","343"
"        2 bedrooms","777","1,220","1,083","714","1,655","1,391","1,233","1,112","1,594","1,240","977","1,719","843","1,023","843","826","837","760","863","909","1,424","1,477","906","1,082","747","829","849","850","1,107","1,273","1,443","819","1,320","878","815","824","793","1,164","971","1,090","879","790","866","1,083","1,055","1,127","1,172","1,336","739","881","800","418"
"        3 bedrooms","897","1,681","1,284","888","1,852","1,566","1,429","1,329","1,655","1,423","1,102","2,234","1,081","1,185","973","979","1,031","905","1,000","1,065","1,639","1,488","1,056","1,249","856","986","1,045","1,058","1,415","1,392","1,657","1,044","1,441","1,022","1,094","945","980","1,452","1,085","1,222","1,015","928","1,000","1,268","1,237","1,161","1,328","1,569","854","1,034","1,022","549"
"        4 bedrooms","1,038","2,075","1,551","1,039","2,196","1,888","1,624","1,567","1,688","1,700","1,377","2,711","1,309","1,348","1,098","1,079","1,275","1,067","1,074","1,074","1,986","1,819","1,116","1,521","1,027","1,134","1,211","1,119","1,667","1,458","1,892","1,284","1,508","1,333","1,301","1,019","1,170","1,661","1,155","1,521","1,180","1,199","1,148","1,641","1,580","1,390","1,790","1,985","992","1,116","1,136","575"
"        5 or more bedrooms","1,272","1,725","1,833","1,059","2,384","2,035","1,452","1,462","2,129","2,067","1,661","2,486","1,486","1,238","1,155","836","1,131","1,187","997","1,160","2,034","1,425","1,157","1,449","1,013","1,196","1,110","977","1,937","1,772","2,080","1,086","1,448","1,439","1,307","1,071","1,113","1,487","1,170","1,054","1,427","1,130","1,287","1,834","1,734","1,218","1,922","1,897","1,075","1,030","1,223","344"
