"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Median gross rent --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total:","861","1,259","1,253","820","1,750","1,491","1,277","1,208","1,668","1,348","1,153","1,774","1,035","1,106","905","847","904","830","924","945","1,473","1,487","969","1,113","831","882","883","912","1,311","1,263","1,457","906","1,409","1,026","839","870","855","1,282","1,036","1,142","976","830","981","1,167","1,208","1,115","1,331","1,484","767","921","889","504"
"        No bedroom","664","724","973","616","1,360","1,282","921","1,036","1,518","1,137","1,112","1,284","762","989","777","756","715","573","819","734","1,236","1,253","781","874","611","702","614","748","883","937","1,125","736","1,328","892","702","645","659","1,058","878","776","953","680","828","1,025","946","834","1,360","1,276","538","779","662","437"
"        1 bedroom","739","900","1,047","645","1,525","1,300","1,046","1,040","1,666","1,142","1,084","1,340","819","955","743","682","729","677","771","768","1,223","1,204","782","966","689","724","724","772","1,068","997","1,254","732","1,344","942","697","701","708","1,114","872","851","924","646","894","1,026","976","834","1,221","1,310","557","756","679","308"
"        2 bedrooms","826","1,254","1,251","775","1,797","1,490","1,355","1,178","1,825","1,352","1,086","1,785","936","1,107","921","855","886","831","926","1,002","1,527","1,556","993","1,188","807","890","870","935","1,265","1,387","1,552","917","1,410","973","832","890","840","1,253","1,072","1,244","946","883","944","1,155","1,167","1,271","1,245","1,479","784","938","843","455"
"        3 bedrooms","948","1,692","1,478","986","2,001","1,785","1,469","1,369","1,595","1,542","1,196","2,363","1,233","1,298","1,026","1,067","1,109","954","1,061","1,120","1,705","1,654","1,122","1,377","915","1,038","1,111","1,122","1,560","1,514","1,751","1,063","1,576","1,115","1,113","994","1,011","1,569","1,156","1,335","1,022","1,003","1,087","1,381","1,380","1,382","1,432","1,728","927","1,104","1,082","568"
"        4 bedrooms","1,088","2,046","1,688","1,093","2,399","2,067","1,770","1,751","3,500+","1,828","1,510","2,839","1,554","1,463","1,115","1,063","1,328","1,218","1,227","1,192","2,013","1,952","1,248","1,569","1,024","1,205","1,417","1,299","1,823","1,678","1,980","1,213","1,612","1,452","1,267","1,098","1,221","1,688","1,241","1,644","1,330","1,143","1,320","1,725","1,697","1,475","1,839","2,172","895","1,222","1,324","658"
"        5 or more bedrooms","1,250","2,091","2,169","931","2,649","2,309","2,069","1,644","1,928","1,981","1,957","2,994","1,776","1,416","1,193","961","1,306","1,236","1,061","1,138","2,384","1,688","1,134","1,743","796","1,278","1,681","1,291","2,264","1,544","1,948","1,273","1,638","1,844","1,919","1,172","1,387","1,820","1,259","815","1,147","964","1,477","1,867","1,840","1,293","2,125","2,233","1,154","1,263","1,622","916"
