"Label (Grouping)","Alabama!!Owner-occupied housing units with a mortgage!!Estimate","Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate","Alaska!!Owner-occupied housing units with a mortgage!!Estimate","Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate","California!!Owner-occupied housing units with a mortgage!!Estimate","California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colorado!!Owner-occupied housing units with a mortgage!!Estimate","Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate","Delaware!!Owner-occupied housing units with a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate","Florida!!Owner-occupied housing units with a mortgage!!Estimate","Florida!!Percent owner-occupied housing units with a mortgage!!Estimate","Georgia!!Owner-occupied housing units with a mortgage!!Estimate","Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate","Idaho!!Owner-occupied housing units with a mortgage!!Estimate","Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate","Illinois!!Owner-occupied housing units with a mortgage!!Estimate","Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate","Indiana!!Owner-occupied housing units with a mortgage!!Estimate","Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Iowa!!Owner-occupied housing units with a mortgage!!Estimate","Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate","Kansas!!Owner-occupied housing units with a mortgage!!Estimate","Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Maine!!Owner-occupied housing units with a mortgage!!Estimate","Maine!!Percent owner-occupied housing units with a mortgage!!Estimate","Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate","Michigan!!Owner-occupied housing units with a mortgage!!Estimate","Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate","Missouri!!Owner-occupied housing units with a mortgage!!Estimate","Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate","Montana!!Owner-occupied housing units with a mortgage!!Estimate","Montana!!Percent owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada!!Owner-occupied housing units with a mortgage!!Estimate","Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate","New York!!Owner-occupied housing units with a mortgage!!Estimate","New York!!Percent owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Ohio!!Owner-occupied housing units with a mortgage!!Estimate","Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate","Oregon!!Owner-occupied housing units with a mortgage!!Estimate","Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Texas!!Owner-occupied housing units with a mortgage!!Estimate","Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Utah!!Owner-occupied housing units with a mortgage!!Estimate","Utah!!Percent owner-occupied housing units with a mortgage!!Estimate","Vermont!!Owner-occupied housing units with a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate","Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Washington!!Owner-occupied housing units with a mortgage!!Estimate","Washington!!Percent owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate"
"    MORTGAGE STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        With either a second mortgage, or home equity loan, but not both","71,506","10.3%","7,236","7.0%","100,670","9.4%","27,382","6.7%","642,797","12.9%","128,957","13.0%","101,080","16.6%","20,473","12.4%","14,236","15.6%","303,356","10.5%","152,359","9.7%","33,084","19.4%","32,009","11.0%","241,192","12.0%","135,897","11.7%","70,190","12.9%","41,534","9.4%","90,322","13.7%","47,413","8.0%","37,955","15.3%","160,428","14.9%","199,591","18.1%","198,116","11.8%","149,130","14.5%","27,707","7.6%","99,005","10.0%","15,917","9.7%","31,109","10.4%","34,764","8.0%","33,029","13.6%","192,181","13.9%","25,694","9.2%","325,392","13.8%","216,186","13.3%","10,446","9.8%","280,049","14.5%","32,267","6.2%","85,717","12.8%","320,481","15.4%","26,371","15.4%","78,529","10.1%","12,380","9.6%","95,089","9.4%","167,816","4.9%","72,368","14.7%","17,101","14.6%","205,822","14.5%","150,758","12.2%","22,948","9.4%","157,210","15.7%","8,316","8.8%","7,176","2.4%"
"            Second mortgage only","17,116","2.5%","2,184","2.1%","18,716","1.7%","8,104","2.0%","129,964","2.6%","25,263","2.5%","22,260","3.7%","3,645","2.2%","3,043","3.3%","58,290","2.0%","37,430","2.4%","3,383","2.0%","8,316","2.9%","40,515","2.0%","20,300","1.7%","17,184","3.2%","9,025","2.0%","16,996","2.6%","13,620","2.3%","3,029","1.2%","29,849","2.8%","25,030","2.3%","33,718","2.0%","34,127","3.3%","7,452","2.0%","18,274","1.9%","3,396","2.1%","8,354","2.8%","9,617","2.2%","4,171","1.7%","24,312","1.8%","8,938","3.2%","36,035","1.5%","30,790","1.9%","1,815","1.7%","43,326","2.3%","10,689","2.0%","14,181","2.1%","40,532","2.0%","4,386","2.6%","11,743","1.5%","2,221","1.7%","14,989","1.5%","56,519","1.7%","18,174","3.7%","1,660","1.4%","41,974","3.0%","26,963","2.2%","3,043","1.2%","28,614","2.9%","3,218","3.4%","5,508","1.8%"
"            Home equity loan only","54,390","7.8%","5,052","4.9%","81,954","7.6%","19,278","4.7%","512,833","10.3%","103,694","10.4%","78,820","12.9%","16,828","10.2%","11,193","12.3%","245,066","8.5%","114,929","7.3%","29,701","17.4%","23,693","8.2%","200,677","10.0%","115,597","9.9%","53,006","9.8%","32,509","7.3%","73,326","11.1%","33,793","5.7%","34,926","14.1%","130,579","12.2%","174,561","15.8%","164,398","9.8%","115,003","11.2%","20,255","5.5%","80,731","8.2%","12,521","7.6%","22,755","7.6%","25,147","5.8%","28,858","11.9%","167,869","12.2%","16,756","6.0%","289,357","12.2%","185,396","11.4%","8,631","8.1%","236,723","12.3%","21,578","4.1%","71,536","10.7%","279,949","13.5%","21,985","12.8%","66,786","8.6%","10,159","7.9%","80,100","7.9%","111,297","3.3%","54,194","11.0%","15,441","13.2%","163,848","11.5%","123,795","10.0%","19,905","8.1%","128,596","12.8%","5,098","5.4%","1,668","0.6%"
"        Both second mortgage and home equity loan","2,023","0.3%","621","0.6%","4,349","0.4%","489","0.1%","27,484","0.6%","2,604","0.3%","3,048","0.5%","543","0.3%","188","0.2%","11,514","0.4%","4,938","0.3%","1,304","0.8%","516","0.2%","7,688","0.4%","4,155","0.4%","3,139","0.6%","1,005","0.2%","2,748","0.4%","1,639","0.3%","720","0.3%","5,266","0.5%","5,179","0.5%","5,308","0.3%","4,730","0.5%","1,365","0.4%","1,855","0.2%","935","0.6%","1,486","0.5%","1,705","0.4%","731","0.3%","6,222","0.5%","306","0.1%","9,880","0.4%","5,555","0.3%","401","0.4%","7,872","0.4%","1,080","0.2%","3,112","0.5%","9,269","0.4%","791","0.5%","2,467","0.3%","505","0.4%","2,529","0.3%","5,528","0.2%","3,070","0.6%","644","0.6%","4,698","0.3%","4,160","0.3%","1,043","0.4%","5,196","0.5%","381","0.4%","1,031","0.3%"
"        No second mortgage and no home equity loan","620,838","89.4%","94,849","92.4%","967,483","90.2%","382,264","93.2%","4,318,430","86.6%","862,795","86.8%","505,328","82.9%","144,409","87.3%","76,755","84.2%","2,576,094","89.1%","1,410,815","90.0%","136,484","79.9%","257,976","88.8%","1,753,544","87.6%","1,026,238","88.0%","469,779","86.5%","400,018","90.4%","568,450","85.9%","544,681","91.7%","208,669","84.4%","907,940","84.6%","900,729","81.5%","1,468,475","87.8%","871,114","85.0%","336,132","92.0%","885,548","89.8%","147,345","89.7%","267,822","89.2%","398,601","91.6%","208,316","86.1%","1,179,242","85.6%","253,825","90.7%","2,031,119","85.8%","1,401,994","86.3%","95,570","89.8%","1,636,955","85.0%","488,722","93.6%","579,151","86.7%","1,746,401","84.1%","144,274","84.2%","699,608","89.6%","116,438","90.0%","913,282","90.3%","3,235,022","94.9%","416,459","84.7%","99,010","84.8%","1,209,001","85.2%","1,078,838","87.4%","220,962","90.2%","840,695","83.8%","86,064","90.8%","294,077","97.3%"
"    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $10,000","20,689","3.0%","1,571","1.5%","24,645","2.3%","11,784","2.9%","97,819","2.0%","17,931","1.8%","8,513","1.4%","3,920","2.4%","1,981","2.2%","81,690","2.8%","41,903","2.7%","3,585","2.1%","5,546","1.9%","35,155","1.8%","22,006","1.9%","8,299","1.5%","6,217","1.4%","17,620","2.7%","15,942","2.7%","4,984","2.0%","14,513","1.4%","14,336","1.3%","31,958","1.9%","13,278","1.3%","13,073","3.6%","18,802","1.9%","3,000","1.8%","4,293","1.4%","9,498","2.2%","3,260","1.3%","19,381","1.4%","9,644","3.4%","39,767","1.7%","33,345","2.1%","1,215","1.1%","35,384","1.8%","11,090","2.1%","8,981","1.3%","39,845","1.9%","2,071","1.2%","20,450","2.6%","1,017","0.8%","22,970","2.3%","64,574","1.9%","5,152","1.0%","2,363","2.0%","23,783","1.7%","18,257","1.5%","6,655","2.7%","13,759","1.4%","1,346","1.4%","24,832","8.2%"
"        $10,000 to $24,999","53,357","7.7%","4,496","4.4%","63,580","5.9%","33,638","8.2%","205,443","4.1%","37,319","3.8%","20,988","3.4%","10,195","6.2%","2,580","2.8%","209,722","7.3%","89,731","5.7%","4,148","2.4%","19,843","6.8%","94,058","4.7%","75,032","6.4%","29,059","5.4%","20,469","4.6%","46,048","7.0%","45,791","7.7%","14,179","5.7%","35,644","3.3%","34,772","3.1%","95,718","5.7%","36,475","3.6%","30,075","8.2%","54,355","5.5%","10,860","6.6%","12,932","4.3%","25,261","5.8%","8,036","3.3%","44,930","3.3%","24,747","8.8%","99,223","4.2%","105,588","6.5%","2,464","2.3%","107,602","5.6%","33,054","6.3%","33,678","5.0%","109,579","5.3%","7,282","4.2%","56,030","7.2%","4,462","3.5%","68,651","6.8%","171,921","5.0%","18,318","3.7%","6,322","5.4%","63,508","4.5%","44,341","3.6%","21,314","8.7%","49,123","4.9%","4,475","4.7%","66,621","22.0%"
"        $25,000 to $34,999","47,032","6.8%","3,062","3.0%","59,040","5.5%","30,367","7.4%","184,932","3.7%","42,818","4.3%","18,175","3.0%","8,002","4.8%","1,761","1.9%","184,353","6.4%","87,352","5.6%","5,680","3.3%","16,919","5.8%","95,658","4.8%","75,098","6.4%","30,585","5.6%","23,105","5.2%","47,644","7.2%","39,014","6.6%","13,658","5.5%","33,704","3.1%","34,321","3.1%","98,054","5.9%","40,723","4.0%","26,420","7.2%","61,423","6.2%","9,456","5.8%","13,815","4.6%","23,807","5.5%","10,524","4.3%","43,258","3.1%","21,549","7.7%","91,966","3.9%","97,324","6.0%","3,613","3.4%","110,962","5.8%","31,704","6.1%","33,717","5.0%","100,799","4.9%","8,060","4.7%","55,345","7.1%","7,482","5.8%","67,070","6.6%","168,145","4.9%","21,123","4.3%","6,081","5.2%","52,436","3.7%","44,737","3.6%","20,385","8.3%","50,101","5.0%","4,757","5.0%","40,745","13.5%"
"        $35,000 to $49,999","74,279","10.7%","5,758","5.6%","111,112","10.4%","51,783","12.6%","331,404","6.6%","77,456","7.8%","38,249","6.3%","14,651","8.9%","2,662","2.9%","324,338","11.2%","149,405","9.5%","12,052","7.1%","35,651","12.3%","168,952","8.4%","133,027","11.4%","55,628","10.2%","43,937","9.9%","76,589","11.6%","58,396","9.8%","27,893","11.3%","70,536","6.6%","60,659","5.5%","181,641","10.9%","87,675","8.6%","42,396","11.6%","111,764","11.3%","19,087","11.6%","26,203","8.7%","45,350","10.4%","16,028","6.6%","77,830","5.6%","34,438","12.3%","161,036","6.8%","184,908","11.4%","7,989","7.5%","206,283","10.7%","58,164","11.1%","62,326","9.3%","193,505","9.3%","13,202","7.7%","86,275","11.1%","14,481","11.2%","112,997","11.2%","289,082","8.5%","39,651","8.1%","11,677","10.0%","107,510","7.6%","92,770","7.5%","32,828","13.4%","96,718","9.6%","9,579","10.1%","58,413","19.3%"
"        $50,000 to $74,999","134,010","19.3%","16,524","16.1%","204,448","19.1%","81,975","20.0%","662,661","13.3%","155,216","15.6%","86,094","14.1%","32,016","19.4%","8,230","9.0%","536,246","18.5%","276,299","17.6%","22,435","13.1%","65,905","22.7%","335,047","16.7%","242,161","20.8%","107,330","19.8%","88,233","19.9%","130,771","19.8%","105,943","17.8%","49,704","20.1%","139,157","13.0%","143,466","13.0%","326,620","19.5%","166,252","16.2%","77,865","21.3%","192,411","19.5%","35,936","21.9%","57,362","19.1%","78,201","18.0%","34,817","14.4%","169,025","12.3%","54,558","19.5%","338,765","14.3%","308,772","19.0%","19,480","18.3%","371,517","19.3%","104,311","20.0%","117,986","17.7%","371,686","17.9%","28,907","16.9%","157,607","20.2%","25,568","19.8%","203,745","20.2%","568,350","16.7%","93,726","19.1%","21,897","18.8%","212,825","15.0%","187,307","15.2%","50,951","20.8%","193,295","19.3%","17,399","18.4%","56,518","18.7%"
"        $75,000 to $99,999","118,808","17.1%","15,589","15.2%","175,012","16.3%","62,311","15.2%","660,584","13.2%","157,165","15.8%","82,289","13.5%","25,841","15.6%","9,267","10.2%","450,785","15.6%","245,262","15.6%","22,830","13.4%","48,930","16.8%","308,080","15.4%","213,587","18.3%","103,098","19.0%","79,872","18.0%","110,699","16.7%","96,938","16.3%","45,453","18.4%","151,785","14.1%","143,753","13.0%","282,044","16.9%","175,149","17.1%","64,349","17.6%","168,477","17.1%","29,008","17.7%","54,519","18.1%","74,269","17.1%","38,661","16.0%","177,942","12.9%","44,503","15.9%","336,915","14.2%","267,775","16.5%","20,099","18.9%","336,065","17.5%","93,187","17.8%","110,124","16.5%","342,305","16.5%","27,619","16.1%","128,904","16.5%","30,367","23.5%","171,743","17.0%","517,676","15.2%","89,817","18.3%","21,238","18.2%","211,447","14.9%","191,182","15.5%","35,818","14.6%","183,536","18.3%","18,343","19.4%","24,139","8.0%"
"        $100,000 to $149,999","142,484","20.5%","28,377","27.6%","227,398","21.2%","81,585","19.9%","1,103,737","22.1%","239,397","24.1%","147,504","24.2%","37,210","22.5%","18,518","20.3%","572,584","19.8%","338,840","21.6%","44,608","26.1%","58,984","20.3%","461,509","23.0%","248,477","21.3%","127,569","23.5%","99,785","22.5%","139,515","21.1%","130,202","21.9%","54,975","22.2%","258,193","24.0%","261,353","23.6%","363,484","21.7%","264,182","25.8%","65,229","17.9%","212,500","21.5%","33,197","20.2%","78,592","26.2%","96,598","22.2%","66,400","27.4%","325,299","23.6%","53,560","19.1%","551,156","23.3%","334,621","20.6%","31,106","29.2%","434,287","22.6%","110,802","21.2%","149,735","22.4%","478,432","23.0%","43,220","25.2%","151,315","19.4%","29,911","23.1%","208,503","20.6%","777,430","22.8%","129,122","26.2%","29,279","25.1%","319,239","22.5%","299,783","24.3%","49,276","20.1%","249,068","24.8%","24,239","25.6%","18,876","6.2%"
"        $150,000 or more","103,708","14.9%","27,329","26.6%","207,267","19.3%","56,692","13.8%","1,742,131","34.9%","267,054","26.9%","207,644","34.1%","33,590","20.3%","46,180","50.6%","531,246","18.4%","339,320","21.6%","55,534","32.5%","38,723","13.3%","503,965","25.2%","156,902","13.5%","81,540","15.0%","80,939","18.3%","92,634","14.0%","101,507","17.1%","36,498","14.8%","370,102","34.5%","412,839","37.3%","292,380","17.5%","241,240","23.5%","45,797","12.5%","166,676","16.9%","23,653","14.4%","52,701","17.5%","82,086","18.9%","64,350","26.6%","519,980","37.7%","36,826","13.2%","747,563","31.6%","291,402","17.9%","20,451","19.2%","322,776","16.8%","79,757","15.3%","151,433","22.7%","440,000","21.2%","41,075","24.0%","124,678","16.0%","16,035","12.4%","155,221","15.4%","851,188","25.0%","94,988","19.3%","17,898","15.3%","428,773","30.2%","355,379","28.8%","27,726","11.3%","167,501","16.7%","14,623","15.4%","12,140","4.0%"
"        Median household income (dollars)","78,432","78,432","105,294","105,294","84,628","84,628","73,522","73,522","113,027","113,027","101,056","101,056","114,130","114,130","87,168","87,168","151,147","151,147","80,372","80,372","88,772","88,772","113,390","113,390","75,554","75,554","96,714","96,714","78,796","78,796","83,998","83,998","86,395","86,395","77,340","77,340","81,863","81,863","81,392","81,392","115,283","115,283","121,565","121,565","83,258","83,258","98,831","98,831","72,006","72,006","81,877","81,877","77,282","77,282","90,685","90,685","86,294","86,294","105,339","105,339","121,642","121,642","72,549","72,549","108,546","108,546","81,504","81,504","97,677","97,677","83,629","83,629","80,386","80,386","91,517","91,517","90,755","90,755","98,266","98,266","77,141","77,141","83,662","83,662","78,713","78,713","95,822","95,822","93,060","93,060","87,472","87,472","104,322","104,322","104,432","104,432","70,059","70,059","87,899","87,899","88,588","88,588","39,275","39,275"
"    RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than 2.0","321,671","46.3%","30,261","29.5%","268,044","25.0%","207,331","50.6%","424,125","8.5%","136,974","13.8%","220,283","36.1%","41,742","25.2%","11,352","12.5%","773,282","26.7%","615,436","39.2%","10,699","6.3%","67,515","23.2%","879,386","43.9%","591,621","50.7%","283,170","52.1%","225,454","50.9%","309,329","46.8%","246,137","41.5%","89,507","36.2%","293,539","27.3%","206,232","18.7%","783,881","46.9%","363,851","35.5%","182,276","49.9%","465,245","47.2%","36,865","22.5%","157,457","52.4%","75,742","17.4%","78,941","32.6%","395,185","28.7%","94,217","33.7%","780,070","33.0%","592,602","36.5%","41,687","39.2%","1,007,502","52.3%","270,140","51.7%","92,118","13.8%","908,773","43.8%","46,010","26.8%","288,891","37.0%","51,140","39.5%","367,823","36.4%","1,444,711","42.4%","81,970","16.7%","35,222","30.2%","373,348","26.3%","178,220","14.4%","118,989","48.6%","429,464","42.8%","27,403","28.9%","63,811","21.1%"
"        2.0 to 2.9","168,458","24.3%","29,112","28.3%","280,069","26.1%","91,183","22.2%","732,517","14.7%","234,657","23.6%","164,379","27.0%","46,080","27.9%","19,042","20.9%","718,950","24.9%","405,752","25.9%","18,750","11.0%","73,822","25.4%","505,395","25.2%","276,859","23.7%","135,600","25.0%","109,660","24.8%","162,073","24.5%","143,902","24.2%","65,143","26.3%","297,445","27.7%","284,608","25.7%","411,298","24.6%","311,917","30.4%","85,647","23.5%","251,819","25.5%","38,546","23.5%","74,251","24.7%","101,969","23.4%","70,624","29.2%","378,191","27.5%","65,576","23.4%","493,894","20.9%","439,221","27.1%","32,507","30.5%","457,676","23.8%","121,734","23.3%","156,086","23.4%","523,040","25.2%","49,706","29.0%","193,154","24.7%","38,754","30.0%","269,040","26.6%","900,428","26.4%","126,830","25.8%","31,644","27.1%","399,360","28.1%","277,666","22.5%","57,212","23.4%","274,041","27.3%","26,826","28.3%","71,403","23.6%"
"        3.0 to 3.9","77,007","11.1%","16,136","15.7%","185,382","17.3%","42,052","10.3%","843,885","16.9%","207,607","20.9%","83,745","13.7%","24,518","14.8%","18,589","20.4%","443,914","15.4%","207,351","13.2%","23,781","13.9%","53,197","18.3%","231,893","11.6%","120,118","10.3%","53,090","9.8%","45,914","10.4%","72,374","10.9%","75,573","12.7%","34,517","14.0%","189,082","17.6%","204,338","18.5%","185,044","11.1%","147,112","14.4%","37,467","10.3%","111,317","11.3%","30,572","18.6%","29,556","9.8%","84,102","19.3%","39,429","16.3%","214,190","15.5%","37,852","13.5%","302,712","12.8%","220,063","13.6%","15,787","14.8%","182,053","9.5%","53,368","10.2%","136,676","20.5%","245,247","11.8%","26,605","15.5%","104,114","13.3%","17,450","13.5%","140,228","13.9%","418,718","12.3%","109,781","22.3%","18,592","15.9%","251,124","17.7%","247,970","20.1%","23,591","9.6%","120,020","12.0%","14,956","15.8%","44,496","14.7%"
"        4.0 or more","122,486","17.6%","27,035","26.3%","333,114","31.1%","67,583","16.5%","2,959,752","59.3%","410,520","41.3%","139,389","22.9%","51,782","31.3%","41,753","45.8%","932,132","32.2%","327,300","20.9%","116,650","68.3%","94,482","32.5%","378,251","18.9%","173,184","14.8%","69,156","12.7%","60,186","13.6%","113,712","17.2%","123,498","20.8%","57,470","23.2%","290,692","27.1%","406,410","36.8%","285,694","17.1%","198,838","19.4%","57,054","15.6%","154,006","15.6%","57,751","35.2%","38,243","12.7%","170,238","39.1%","51,980","21.5%","384,760","27.9%","79,268","28.3%","778,028","32.9%","364,085","22.4%","16,198","15.2%","270,759","14.1%","74,453","14.3%","281,009","42.1%","390,523","18.8%","48,805","28.5%","190,224","24.4%","21,681","16.8%","227,861","22.5%","629,007","18.5%","171,514","34.9%","30,819","26.4%","390,413","27.5%","525,858","42.6%","43,146","17.6%","176,639","17.6%","25,229","26.6%","117,546","38.9%"
"        Not computed","4,745","0.7%","162","0.2%","5,893","0.5%","1,986","0.5%","28,432","0.6%","4,598","0.5%","1,660","0.3%","1,303","0.8%","443","0.5%","22,686","0.8%","12,273","0.8%","992","0.6%","1,485","0.5%","7,499","0.4%","4,508","0.4%","2,092","0.4%","1,343","0.3%","4,032","0.6%","4,623","0.8%","707","0.3%","2,876","0.3%","3,911","0.4%","5,982","0.4%","3,256","0.3%","2,760","0.8%","4,021","0.4%","463","0.3%","910","0.3%","3,019","0.7%","1,102","0.5%","5,319","0.4%","2,912","1.0%","11,687","0.5%","7,764","0.5%","238","0.2%","6,886","0.4%","2,374","0.5%","2,091","0.3%","8,568","0.4%","310","0.2%","4,221","0.5%","298","0.2%","5,948","0.6%","15,502","0.5%","1,802","0.4%","478","0.4%","5,276","0.4%","4,042","0.3%","2,015","0.8%","2,937","0.3%","347","0.4%","5,028","1.7%"
"    MONTHLY HOUSING COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $200","687","0.1%","37","0.0%","1,002","0.1%","120","0.0%","1,453","0.0%","485","0.0%","143","0.0%","0","0.0%","0","0.0%","1,368","0.0%","551","0.0%","0","0.0%","33","0.0%","501","0.0%","362","0.0%","42","0.0%","234","0.1%","334","0.1%","509","0.1%","8","0.0%","474","0.0%","329","0.0%","413","0.0%","228","0.0%","437","0.1%","629","0.1%","34","0.0%","32","0.0%","254","0.1%","250","0.1%","204","0.0%","305","0.1%","1,216","0.1%","656","0.0%","0","0.0%","626","0.0%","188","0.0%","474","0.1%","584","0.0%","59","0.0%","679","0.1%","64","0.0%","707","0.1%","1,214","0.0%","195","0.0%","66","0.1%","479","0.0%","456","0.0%","122","0.0%","457","0.0%","33","0.0%","296","0.1%"
"        $200 to $399","6,010","0.9%","622","0.6%","6,329","0.6%","5,421","1.3%","9,397","0.2%","3,102","0.3%","339","0.1%","1,106","0.7%","234","0.3%","13,774","0.5%","5,647","0.4%","514","0.3%","3,071","1.1%","5,289","0.3%","9,218","0.8%","1,567","0.3%","989","0.2%","8,631","1.3%","5,555","0.9%","2,035","0.8%","2,093","0.2%","770","0.1%","8,867","0.5%","2,567","0.3%","4,181","1.1%","6,406","0.6%","1,050","0.6%","817","0.3%","1,296","0.3%","157","0.1%","598","0.0%","3,049","1.1%","8,311","0.4%","10,613","0.7%","456","0.4%","11,008","0.6%","3,404","0.7%","1,871","0.3%","8,332","0.4%","189","0.1%","6,940","0.9%","492","0.4%","6,429","0.6%","9,116","0.3%","2,332","0.5%","211","0.2%","6,207","0.4%","3,278","0.3%","3,653","1.5%","2,733","0.3%","637","0.7%","10,307","3.4%"
