"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","2,016,448","274,574","2,850,377","1,216,207","13,550,586","2,384,584","1,433,635","402,334","326,970","8,826,394","4,092,467","494,827","717,151","5,056,360","2,726,489","1,330,995","1,175,294","1,828,680","1,816,902","605,338","2,375,984","2,797,776","4,089,794","2,322,190","1,148,340","2,521,832","464,072","803,157","1,198,356","557,220","3,516,978","848,218","7,774,308","4,299,266","331,481","4,878,206","1,573,180","1,726,340","5,294,065","446,688","2,136,080","368,300","2,846,684","11,087,708","1,129,660","277,090","3,380,607","3,079,953","736,341","2,491,121","243,321","1,289,311"
"    Owner occupied:","1,416,333","181,586","1,921,746","808,558","7,565,502","1,584,309","949,839","298,075","134,120","5,929,801","2,695,885","309,687","518,837","3,392,312","1,929,865","958,700","795,989","1,257,737","1,229,012","448,772","1,609,588","1,741,555","2,991,685","1,674,434","803,006","1,704,800","319,421","529,723","722,684","402,656","2,272,995","601,666","4,204,337","2,868,467","215,896","3,285,052","1,029,003","1,084,786","3,658,207","282,617","1,538,550","256,326","1,914,030","6,926,616","804,164","204,089","2,278,062","1,976,259","548,389","1,696,493","176,863","869,635"
"        1-person household","354,461","40,572","448,251","195,511","1,453,811","353,451","210,560","72,782","55,467","1,460,960","599,540","67,337","108,487","813,777","458,693","228,308","188,678","304,121","318,036","109,300","364,771","374,818","738,761","369,910","208,605","408,210","77,184","119,608","161,882","85,762","467,025","163,892","975,390","669,164","51,835","823,316","241,577","242,803","872,250","64,144","380,703","60,472","443,317","1,329,295","126,183","47,363","521,488","411,956","145,355","391,414","44,071","245,438"
"        2-person household","539,246","68,920","750,319","317,956","2,520,582","620,165","351,480","118,397","43,833","2,407,796","968,429","105,591","205,625","1,205,261","742,055","391,539","307,747","484,043","460,207","198,198","562,073","632,270","1,165,439","658,155","301,822","669,038","135,492","207,034","274,567","167,249","769,991","229,053","1,485,262","1,134,228","85,978","1,277,031","394,680","446,000","1,412,741","110,103","619,983","103,202","756,874","2,380,690","257,199","90,515","843,864","758,588","219,684","712,938","70,474","323,673"
"        3-person household","238,593","26,079","273,799","125,074","1,312,578","248,851","162,411","43,974","17,004","888,446","473,755","49,705","74,017","534,533","290,894","129,539","111,583","208,181","199,451","64,727","275,404","302,341","443,625","242,573","127,500","259,330","41,392","73,549","112,715","65,320","406,886","84,004","689,216","463,015","30,569","489,176","157,776","168,006","575,830","43,921","232,894","34,488","316,726","1,193,380","129,127","30,828","380,147","315,720","91,541","236,838","25,802","166,305"
"        4-person household","172,782","24,592","226,153","94,315","1,221,301","215,133","141,254","39,516","11,623","691,963","373,104","44,012","67,442","499,769","240,276","117,140","102,215","157,080","152,493","49,521","239,442","272,611","375,971","238,202","96,509","210,900","39,073","72,277","96,432","55,806","383,431","67,508","606,747","366,296","26,034","412,125","135,081","137,405","478,408","40,439","183,589","31,651","236,669","1,092,388","122,755","22,359","316,655","283,520","56,520","212,904","22,341","95,802"
"        5-person household","72,993","11,573","126,335","46,632","592,003","90,446","54,973","16,239","4,153","293,950","175,353","20,219","34,157","211,737","124,584","61,676","48,671","67,636","63,703","17,086","100,710","105,260","171,078","106,061","44,008","98,013","15,971","35,656","47,423","20,497","153,615","36,254","265,202","152,887","14,317","179,602","61,339","55,549","205,458","16,927","79,761","17,189","105,834","568,459","84,256","9,510","132,319","126,069","22,579","93,406","9,127","30,072"
"        6-person household","23,862","5,035","62,010","18,532","253,005","37,339","19,672","3,963","1,144","117,291","66,481","9,584","16,020","78,623","45,991","19,947","24,943","24,365","23,008","6,124","40,380","35,475","59,692","37,466","15,801","39,212","5,172","13,198","17,762","6,023","55,685","12,933","103,631","52,979","4,484","64,994","24,654","22,414","69,119","4,663","27,137","5,904","34,239","220,986","48,675","2,248","54,966","46,864","8,562","29,558","3,111","6,345"
"        7-or-more person household","14,396","4,815","34,879","10,538","212,222","18,924","9,489","3,204","896","69,395","39,223","13,239","13,089","48,612","27,372","10,551","12,152","12,311","12,114","3,816","26,808","18,780","37,119","22,067","8,761","20,097","5,137","8,401","11,903","1,999","36,362","8,022","78,889","29,898","2,679","38,808","13,896","12,609","44,401","2,420","14,483","3,420","20,371","141,418","35,969","1,266","28,623","33,542","4,148","19,435","1,937","2,000"
"    Renter occupied:","600,115","92,988","928,631","407,649","5,985,084","800,275","483,796","104,259","192,850","2,896,593","1,396,582","185,140","198,314","1,664,048","796,624","372,295","379,305","570,943","587,890","156,566","766,396","1,056,221","1,098,109","647,756","345,334","817,032","144,651","273,434","475,672","154,564","1,243,983","246,552","3,569,971","1,430,799","115,585","1,593,154","544,177","641,554","1,635,858","164,071","597,530","111,974","932,654","4,161,092","325,496","73,001","1,102,545","1,103,694","187,952","794,628","66,458","419,676"
