"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Median gross rent --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total:","788","1,177","1,036","731","1,520","1,289","1,171","1,108","1,516","1,182","1,008","1,613","848","995","820","777","840","779","854","839","1,371","1,295","861","969","777","830","811","830","1,108","1,090","1,336","830","1,274","900","808","797","808","1,130","927","998","892","734","861","1,046","1,043","969","1,215","1,316","735","847","818","484"
"        No bedroom","586","822","758","588","1,150","976","802","864","1,514","931","853","1,016","599","842","627","631","707","575","614","623","1,077","917","686","780","570","691","607","734","763","765","979","598","1,198","765","661","605","611","881","732","725","737","563","745","845","789","706","1,112","1,134","667","647","725","407"
"        1 bedroom","605","897","842","548","1,291","1,119","951","875","1,504","974","917","1,186","620","860","677","604","657","616","732","693","1,143","1,019","682","854","613","661","620","703","885","854","1,136","647","1,208","801","723","625","637","931","776","768","778","564","716","914","845","797","1,131","1,149","557","688","605","290"
"        2 bedrooms","752","1,162","1,007","700","1,562","1,302","1,226","1,093","1,432","1,176","940","1,614","814","1,000","827","797","836","772","844","903","1,392","1,381","881","1,033","743","819","830","847","1,049","1,189","1,418","806","1,281","846","786","810","798","1,118","962","1,065","839","755","828","1,040","959","1,131","1,126","1,259","723","860","785","431"
"        3 bedrooms","911","1,655","1,254","881","1,784","1,551","1,391","1,297","1,799","1,364","1,071","2,236","1,013","1,173","962","957","994","892","966","1,028","1,609","1,477","1,011","1,187","866","979","995","1,033","1,355","1,413","1,612","1,033","1,424","1,001","1,097","934","953","1,360","1,058","1,178","980","894","963","1,213","1,234","1,175","1,315","1,556","875","988","1,059","547"
"        4 bedrooms","1,091","2,028","1,487","975","2,057","1,808","1,748","1,399","2,263","1,648","1,355","2,568","1,177","1,316","1,061","977","1,120","1,033","1,207","1,188","1,926","1,675","1,122","1,457","973","1,120","1,130","962","1,591","1,448","1,878","1,185","1,482","1,312","1,208","1,026","1,146","1,501","1,147","1,426","1,211","956","1,165","1,598","1,412","1,284","1,735","1,870","1,009","1,136","1,162","627"
"        5 or more bedrooms","1,172","2,203","1,851","1,081","2,276","2,020","1,470","1,541","1,777","1,859","1,558","2,233","1,095","1,489","1,138","875","1,271","1,040","1,081","1,134","2,050","1,645","1,207","1,463","874","1,184","945","1,021","1,864","1,218","1,895","1,215","1,482","1,514","1,323","998","1,137","1,543","1,088","790","1,584","782","1,154","1,758","1,739","1,090","2,114","2,065","1,061","1,076","1,427","448"
