"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","2,016,448","274,574","2,850,377","1,216,207","13,550,586","2,384,584","1,433,635","402,334","326,970","8,826,394","4,092,467","494,827","717,151","5,056,360","2,726,489","1,330,995","1,175,294","1,828,680","1,816,902","605,338","2,375,984","2,797,776","4,089,794","2,322,190","1,148,340","2,521,832","464,072","803,157","1,198,356","557,220","3,516,978","848,218","7,774,308","4,299,266","331,481","4,878,206","1,573,180","1,726,340","5,294,065","446,688","2,136,080","368,300","2,846,684","11,087,708","1,129,660","277,090","3,380,607","3,079,953","736,341","2,491,121","243,321","1,289,311"
"    Less than $10,000","152,705","12,191","153,140","88,467","654,370","98,418","72,746","16,288","22,335","495,572","229,257","25,998","27,531","296,090","151,905","57,792","62,150","123,697","143,940","28,445","114,450","146,170","231,223","100,518","93,168","144,208","23,231","39,385","67,608","17,541","155,271","62,451","527,598","232,212","16,738","286,511","100,950","87,297","291,562","24,165","130,922","18,379","154,793","611,011","33,488","11,050","165,315","139,331","52,185","115,058","12,728","288,952"
"    $10,000 to $14,999","105,647","6,898","85,230","71,588","436,122","59,498","45,957","10,537","9,163","312,253","147,254","12,629","24,649","177,193","104,712","48,031","42,281","106,289","108,307","24,388","62,132","101,696","164,520","71,480","73,348","111,154","20,191","27,332","36,765","15,691","101,897","41,304","321,607","172,200","13,268","213,242","72,433","59,392","197,743","19,074","90,642","14,059","122,133","400,408","27,309","10,438","106,917","87,195","46,671","86,287","8,218","138,823"
"    $15,000 to $19,999","91,762","6,734","87,775","56,753","353,371","62,866","35,686","12,008","9,690","300,563","138,675","11,699","21,733","156,066","88,953","46,445","40,935","76,356","88,468","20,892","55,751","78,305","142,435","59,465","58,725","94,387","17,287","28,188","33,104","14,225","87,991","39,582","253,333","159,776","11,698","178,992","65,276","55,907","186,983","14,743","78,276","14,239","106,466","342,749","20,350","8,415","92,463","67,313","34,443","81,398","9,329","131,541"
"    $20,000 to $24,999","96,250","8,104","88,905","58,233","395,762","64,982","48,394","11,328","7,068","336,366","142,623","13,740","24,687","172,551","104,352","54,035","46,923","85,961","97,576","24,906","61,294","77,125","166,789","70,789","63,342","99,936","16,853","31,082","44,832","15,451","86,765","40,818","267,695","159,672","10,146","186,560","79,092","62,653","200,700","12,912","87,479","12,715","114,587","392,533","26,116","10,243","103,515","84,023","43,006","93,460","9,013","103,114"
"    $25,000 to $29,999","87,477","6,657","96,397","55,203","382,556","67,852","44,450","13,613","7,797","343,242","147,793","10,676","27,624","170,370","108,814","45,416","44,165","78,131","87,128","21,907","62,056","79,542","157,364","69,848","51,625","97,226","17,027","27,887","40,024","15,332","96,637","34,760","250,023","162,210","11,303","193,570","64,569","56,461","188,764","12,225","84,085","12,519","110,321","410,848","29,883","10,430","98,728","82,532","34,240","86,975","9,383","84,799"
"    $30,000 to $34,999","86,283","7,867","112,844","55,523","410,200","70,552","41,688","14,847","7,341","363,544","152,647","15,047","27,130","186,862","115,826","53,201","50,635","84,959","82,775","23,944","69,397","77,269","173,648","79,899","55,210","117,403","19,217","33,268","48,881","16,330","111,616","42,969","255,883","187,766","10,953","208,772","73,359","58,414","216,448","14,688","103,584","14,954","123,187","455,756","37,094","11,889","106,583","83,323","39,020","98,359","10,529","76,294"
"    $35,000 to $39,999","77,979","7,636","98,358","59,440","372,970","74,447","42,246","12,204","7,451","346,582","151,867","11,125","26,091","168,392","115,225","52,165","43,825","80,648","70,957","23,413","64,707","79,899","167,760","71,963","52,634","102,685","19,695","33,081","43,719","16,538","95,353","34,350","250,791","170,723","12,914","196,941","67,739","63,919","185,690","12,533","92,078","11,871","121,110","410,324","34,202","9,861","99,384","87,001","31,792","100,808","10,434","61,580"
"    $40,000 to $44,999","88,698","9,735","109,454","56,597","416,708","76,519","47,317","16,806","7,629","356,931","157,531","15,478","31,040","185,460","116,971","58,835","48,900","78,656","79,783","24,377","71,593","84,472","178,409","80,851","53,034","107,932","20,615","34,065","49,731","16,603","95,642","36,359","249,298","184,252","14,752","205,913","76,677","66,342","208,501","13,209","91,244","16,898","125,057","417,426","33,218","9,702","114,457","95,122","30,457","106,439","9,216","57,839"
"    $45,000 to $49,999","75,057","7,594","105,442","48,708","364,644","69,333","35,708","12,662","7,759","331,009","148,584","15,853","25,351","155,218","111,023","51,539","45,096","67,659","67,880","24,248","61,339","66,983","143,846","74,079","45,881","98,719","17,826","32,265","45,167","16,125","88,511","31,620","221,141","166,655","11,575","182,245","63,540","58,220","179,444","11,991","84,935","13,488","113,892","393,014","35,097","10,940","101,191","88,819","29,991","91,209","7,802","46,267"
"    $50,000 to $59,999","151,424","17,950","214,346","94,354","760,175","140,683","81,788","25,207","16,687","675,076","287,636","28,915","61,493","339,405","210,699","106,753","91,448","140,671","136,751","45,566","132,707","142,726","305,914","159,181","90,333","196,521","34,172","58,981","88,037","38,422","197,270","61,477","454,042","326,126","24,569","378,045","126,882","118,435","372,468","29,522","159,159","30,304","218,438","799,783","77,538","19,901","210,516","187,395","55,191","195,297","17,362","67,179"
"    $60,000 to $74,999","185,971","25,428","280,188","125,593","1,104,699","219,992","115,651","38,914","23,613","858,354","399,796","44,283","74,559","465,709","279,665","137,637","118,030","180,002","160,382","60,924","188,335","212,203","414,440","218,220","109,069","255,043","48,783","80,982","122,705","50,552","284,245","77,047","657,508","435,678","33,764","488,380","157,916","168,926","524,786","39,922","211,862","37,507","294,172","1,095,384","114,168","27,351","292,112","266,771","72,717","256,633","25,770","71,545"
"    $75,000 to $99,999","253,313","36,216","392,461","153,830","1,627,633","319,980","180,173","56,111","34,933","1,181,540","545,843","59,184","110,673","651,353","383,225","188,515","158,162","230,239","209,400","83,142","297,873","317,064","538,299","319,951","139,516","337,210","69,571","108,056","162,870","73,145","408,272","106,292","899,824","558,943","46,776","643,774","195,015","229,104","666,253","58,406","287,601","52,640","377,310","1,419,057","163,156","38,275","412,198","404,672","89,685","340,492","33,543","71,891"
"    $100,000 to $124,999","184,314","36,546","301,862","101,209","1,358,619","255,638","141,231","47,641","29,164","851,620","404,546","56,647","77,947","522,359","279,559","136,469","119,120","164,398","156,233","61,186","250,497","270,603","396,282","251,243","92,049","247,187","45,889","84,921","127,735","58,593","354,738","79,200","723,825","411,954","35,487","467,137","141,779","181,787","526,402","47,690","199,068","41,135","269,124","1,054,577","135,990","26,632","348,998","337,911","64,450","268,847","25,675","33,960"
"    $125,000 to $149,999","115,397","23,203","204,258","61,560","1,027,455","197,264","112,826","32,964","25,245","560,854","286,306","42,833","51,314","367,136","172,553","94,270","79,026","108,602","102,212","43,500","193,208","223,140","273,144","190,349","59,086","160,260","28,538","55,106","86,891","44,878","281,341","52,769","552,420","276,370","23,582","314,382","91,594","127,392","362,702","37,334","133,330","25,877","178,328","741,518","101,240","20,857","261,236","244,934","39,984","180,911","19,810","15,802"
"    $150,000 to $199,999","129,875","30,518","245,074","62,566","1,439,811","255,855","154,641","37,675","33,533","677,227","335,507","54,538","50,340","455,249","198,086","103,165","89,342","112,813","113,033","46,696","274,905","308,695","305,077","236,018","55,082","174,947","30,552","64,623","94,679","64,340","404,977","54,020","727,051","319,173","26,504","359,847","98,589","148,614","440,827","45,318","141,363","26,303","204,030","961,776","126,570","27,469","347,282","323,812","37,216","199,297","18,511","20,199"
