"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Median gross rent --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total:","750","1,201","1,020","711","1,447","1,240","1,125","1,086","1,499","1,128","958","1,573","822","974","793","760","815","724","836","806","1,337","1,208","835","939","742","800","759","801","1,051","1,072","1,284","813","1,226","861","785","772","780","1,079","893","941","848","722","833","987","986","950","1,179","1,216","690","819","832","453"
"        No bedroom","590","760","802","499","1,086","947","780","842","1,541","858","761","1,070","605","801","590","562","617","507","587","529","1,011","928","633","728","550","622","577","548","716","695","953","565","1,158","745","618","569","607","858","755","629","696","575","669","788","684","683","1,087","1,066","434","646","598","342"
"        1 bedroom","587","853","804","539","1,208","1,051","927","880","1,352","938","859","1,166","603","851","647","592","652","578","700","647","1,118","981","667","817","564","636","623","657","832","849","1,092","658","1,177","760","637","604","628","890","757","715","727","556","683","863","804","761","1,063","1,030","515","658","634","297"
"        2 bedrooms","721","1,208","965","682","1,480","1,238","1,188","1,099","1,566","1,113","887","1,598","769","977","803","771","822","703","821","868","1,355","1,292","846","994","703","789","781","812","978","1,147","1,346","780","1,223","810","790","779","770","1,043","915","1,000","822","752","787","973","920","1,078","1,074","1,180","691","830","785","399"
"        3 bedrooms","864","1,616","1,201","853","1,701","1,444","1,336","1,234","1,714","1,289","1,021","2,215","1,015","1,155","921","916","961","862","947","1,046","1,593","1,348","995","1,186","863","948","969","971","1,294","1,322","1,571","1,023","1,350","963","1,077","910","921","1,309","1,007","1,118","928","840","945","1,163","1,141","1,195","1,291","1,457","821","989","975","522"
"        4 bedrooms","988","2,086","1,437","993","2,044","1,735","1,709","1,466","2,431","1,514","1,313","2,556","1,065","1,334","1,051","972","1,148","1,041","1,111","1,041","1,842","1,584","1,062","1,430","932","1,077","1,110","1,033","1,548","1,520","1,812","1,274","1,442","1,245","1,253","978","1,102","1,453","1,104","1,571","1,089","1,037","1,221","1,538","1,390","1,195","1,690","1,700","993","1,091","1,177","610"
"        5 or more bedrooms","1,054","2,106","1,675","1,178","2,193","1,835","1,723","1,439","2,898","1,985","1,489","2,261","1,185","1,449","992","864","1,098","1,130","947","1,346","1,895","1,388","1,230","1,422","777","1,105","1,196","1,179","1,821","1,356","1,848","1,142","1,471","1,444","775","1,015","1,006","1,774","1,154","1,301","1,428","1,374","1,336","1,838","1,532","1,097","1,984","1,834","808","1,115","1,414","499"
