"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","1,967,559","271,311","2,817,723","1,183,675","13,429,063","2,313,042","1,428,313","395,656","319,565","8,565,329","4,001,109","490,080","693,882","4,991,641","2,680,694","1,300,467","1,159,026","1,785,682","1,783,924","593,626","2,355,652","2,759,018","4,051,798","2,281,033","1,129,611","2,468,726","448,949","785,982","1,191,380","548,026","3,497,945","834,007","7,652,666","4,179,632","322,511","4,832,922","1,547,967","1,702,599","5,228,956","440,170","2,049,972","356,887","2,770,395","10,796,247","1,101,499","270,163","3,331,461","3,022,255","722,201","2,449,970","242,763","1,165,982"
"    Less than $10,000","152,450","14,625","158,400","89,818","715,644","110,592","74,573","20,504","30,677","542,819","251,693","26,535","30,955","321,928","151,979","64,244","65,819","144,592","164,981","32,174","122,990","149,006","256,830","96,651","105,133","146,475","23,195","40,806","85,960","17,235","171,737","75,083","535,006","265,655","18,213","317,928","105,917","90,749","308,449","25,735","144,668","17,158","181,576","657,665","47,612","10,992","167,157","145,555","60,933","117,547","14,659","286,499"
"    $10,000 to $14,999","109,733","8,188","90,728","63,974","469,896","63,454","46,694","12,424","9,081","324,579","148,871","14,890","25,964","170,962","100,556","49,407","44,129","92,226","105,456","26,760","62,274","105,211","157,641","71,847","71,407","106,193","18,852","30,156","38,381","15,526","112,672","41,675","327,210","183,533","12,926","207,123","77,991","64,656","212,974","19,383","93,178","13,889","123,719","396,139","28,866","11,594","104,856","85,064","42,470","95,042","9,085","132,217"
"    $15,000 to $19,999","104,435","9,193","91,978","57,674","382,664","60,508","46,755","14,048","10,593","336,446","155,036","13,803","25,294","177,140","99,284","49,722","42,421","82,353","96,282","23,135","61,408","86,111","153,560","62,301","59,798","97,603","17,978","28,675","40,910","15,585","101,054","38,888","281,487","164,703","11,544","194,818","71,475","61,526","204,623","16,774","90,408","12,030","120,834","399,485","24,982","10,672","99,504","80,545","41,920","85,382","9,546","118,108"
"    $20,000 to $24,999","99,468","7,864","107,041","65,552","425,904","65,266","48,720","14,630","6,984","376,400","162,490","14,986","28,062","187,188","110,888","52,768","49,677","90,398","90,320","25,557","64,217","91,835","174,526","71,772","63,807","109,222","19,187","30,243","46,062","14,563","104,426","41,520","275,261","194,713","13,817","204,211","73,924","58,143","203,262","16,724","92,288","16,089","122,843","440,579","26,282","9,642","112,784","83,383","36,678","90,277","10,213","95,934"
"    $25,000 to $29,999","90,500","7,966","104,291","60,038","401,330","70,129","47,229","12,650","8,062","382,303","166,314","10,270","25,022","176,568","122,371","49,164","49,682","80,304","88,004","25,252","64,823","80,464","169,176","72,362","64,250","105,795","21,275","30,987","47,254","17,201","103,687","38,241","261,687","175,673","15,162","200,170","81,154","64,203","194,380","14,854","87,665","15,503","122,971","437,451","32,263","9,780","117,148","88,976","35,546","94,556","10,233","80,680"
"    $30,000 to $34,999","95,211","8,951","116,831","58,653","428,081","76,708","46,256","14,963","9,027","382,767","171,804","14,278","30,392","194,477","131,131","59,040","48,540","85,937","84,717","24,439","66,915","76,359","178,888","85,349","59,448","118,947","19,387","33,387","56,857","18,156","107,090","39,048","274,035","197,499","13,228","218,148","72,845","62,930","212,561","14,836","95,178","14,901","131,268","458,320","41,437","10,483","110,745","91,592","34,930","109,050","11,467","68,290"
"    $35,000 to $39,999","91,889","9,569","116,271","55,935","407,182","75,789","47,459","13,473","6,445","356,081","157,638","15,795","27,367","181,081","106,471","55,027","49,640","81,471","74,896","26,067","61,570","74,836","181,920","76,804","54,854","109,848","21,825","30,230","43,942","14,368","99,495","34,857","247,575","184,398","13,510","212,406","73,895","66,821","201,446","12,704","91,857","14,917","129,068","454,715","33,624","10,548","109,042","98,885","37,081","99,941","9,675","57,630"
"    $40,000 to $44,999","93,936","10,163","119,748","61,683","420,211","83,534","44,677","16,130","6,186","370,722","157,606","15,335","29,546","180,330","123,943","61,493","51,779","82,207","82,772","25,102","74,366","79,941","175,127","87,275","53,830","112,205","18,695","38,876","55,207","20,493","109,177","36,906","264,049","178,697","11,931","214,655","72,001","68,117","208,683","15,504","96,623","16,923","131,825","434,512","44,891","11,054","112,463","109,284","34,215","108,384","8,663","44,777"
"    $45,000 to $49,999","76,444","8,161","113,530","47,058","379,152","77,067","40,799","16,947","7,057","336,113","141,338","14,176","27,729","174,775","107,341","48,699","46,122","68,667","67,425","20,973","68,159","70,340","156,304","80,134","41,783","98,240","18,117","29,028","39,038","17,677","93,753","38,331","235,956","161,366","12,512","189,876","62,583","60,086","189,127","15,621","82,231","12,825","104,481","385,089","36,978","8,445","108,720","90,279","29,359","95,831","8,618","38,025"
