"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Median gross rent --","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total:","913","1,329","1,450","846","1,870","1,646","1,360","1,274","1,843","1,525","1,269","1,813","1,138","1,170","972","891","975","891","984","1,033","1,550","1,634","1,052","1,200","873","954","1,005","983","1,461","1,396","1,555","955","1,499","1,131","863","949","937","1,370","1,116","1,254","1,084","866","1,096","1,290","1,372","1,141","1,441","1,630","795","992","895","535"
"        No bedroom","749","902","1,126","661","1,460","1,336","965","1,069","1,661","1,239","1,173","1,215","857","990","805","707","738","681","812","862","1,310","1,403","785","938","727","797","675","768","1,070","1,094","1,248","780","1,444","1,062","696","747","720","1,135","932","991","1,017","507","981","1,106","1,209","1,053","1,370","1,382","611","837","553","414"
"        1 bedroom","783","980","1,236","669","1,640","1,431","1,166","1,121","1,770","1,327","1,223","1,379","839","1,013","823","720","825","751","786","829","1,330","1,272","844","1,062","707","782","743","850","1,207","1,085","1,347","797","1,419","1,074","725","762","772","1,201","929","913","1,008","716","972","1,151","1,100","952","1,366","1,447","637","820","670","334"
"        2 bedrooms","846","1,351","1,445","831","1,926","1,683","1,441","1,261","1,979","1,528","1,215","1,848","1,045","1,197","979","914","957","893","971","1,113","1,600","1,727","1,089","1,273","821","944","1,040","977","1,405","1,515","1,658","945","1,502","1,065","870","977","918","1,363","1,157","1,331","1,048","899","1,054","1,272","1,277","1,241","1,364","1,623","814","1,011","888","494"
"        3 bedrooms","1,065","1,733","1,696","1,020","2,183","1,892","1,576","1,463","2,622","1,729","1,274","2,497","1,395","1,362","1,137","1,084","1,161","1,022","1,135","1,342","1,776","1,817","1,226","1,500","987","1,137","1,226","1,196","1,744","1,719","1,826","1,177","1,673","1,186","1,138","1,083","1,117","1,682","1,286","1,664","1,134","1,063","1,217","1,501","1,622","1,342","1,518","1,906","932","1,169","1,174","605"
"        4 bedrooms","1,146","2,043","1,868","1,147","2,573","2,201","1,768","1,757","2,365","2,016","1,675","2,967","1,695","1,515","1,326","1,132","1,361","1,219","1,338","1,441","1,980","2,164","1,284","1,642","1,093","1,283","1,388","1,319","2,069","1,880","2,056","1,252","1,845","1,654","1,182","1,181","1,277","1,896","1,365","1,533","1,376","1,317","1,420","1,952","1,901","1,322","1,898","2,315","1,107","1,285","1,316","667"
"        5 or more bedrooms","1,076","1,671","2,251","949","2,978","2,429","2,380","1,909","3,169","2,335","1,940","3,087","1,466","1,413","1,301","1,100","1,326","1,158","1,460","1,092","2,362","2,359","1,450","1,404","1,229","1,122","1,555","1,170","2,323","1,217","2,255","1,256","1,749","1,877","1,272","1,218","1,398","1,836","1,379","1,901","1,864","1,110","1,424","2,052","2,157","2,689","2,255","2,756","928","1,225","1,206","599"
