"Label (Grouping)","Alabama!!Owner-occupied housing units with a mortgage!!Estimate","Alabama!!Percent owner-occupied housing units with a mortgage!!Estimate","Alaska!!Owner-occupied housing units with a mortgage!!Estimate","Alaska!!Percent owner-occupied housing units with a mortgage!!Estimate","Arizona!!Owner-occupied housing units with a mortgage!!Estimate","Arizona!!Percent owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Owner-occupied housing units with a mortgage!!Estimate","Arkansas!!Percent owner-occupied housing units with a mortgage!!Estimate","California!!Owner-occupied housing units with a mortgage!!Estimate","California!!Percent owner-occupied housing units with a mortgage!!Estimate","Colorado!!Owner-occupied housing units with a mortgage!!Estimate","Colorado!!Percent owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Owner-occupied housing units with a mortgage!!Estimate","Connecticut!!Percent owner-occupied housing units with a mortgage!!Estimate","Delaware!!Owner-occupied housing units with a mortgage!!Estimate","Delaware!!Percent owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Owner-occupied housing units with a mortgage!!Estimate","District of Columbia!!Percent owner-occupied housing units with a mortgage!!Estimate","Florida!!Owner-occupied housing units with a mortgage!!Estimate","Florida!!Percent owner-occupied housing units with a mortgage!!Estimate","Georgia!!Owner-occupied housing units with a mortgage!!Estimate","Georgia!!Percent owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Owner-occupied housing units with a mortgage!!Estimate","Hawaii!!Percent owner-occupied housing units with a mortgage!!Estimate","Idaho!!Owner-occupied housing units with a mortgage!!Estimate","Idaho!!Percent owner-occupied housing units with a mortgage!!Estimate","Illinois!!Owner-occupied housing units with a mortgage!!Estimate","Illinois!!Percent owner-occupied housing units with a mortgage!!Estimate","Indiana!!Owner-occupied housing units with a mortgage!!Estimate","Indiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Iowa!!Owner-occupied housing units with a mortgage!!Estimate","Iowa!!Percent owner-occupied housing units with a mortgage!!Estimate","Kansas!!Owner-occupied housing units with a mortgage!!Estimate","Kansas!!Percent owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Owner-occupied housing units with a mortgage!!Estimate","Kentucky!!Percent owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Owner-occupied housing units with a mortgage!!Estimate","Louisiana!!Percent owner-occupied housing units with a mortgage!!Estimate","Maine!!Owner-occupied housing units with a mortgage!!Estimate","Maine!!Percent owner-occupied housing units with a mortgage!!Estimate","Maryland!!Owner-occupied housing units with a mortgage!!Estimate","Maryland!!Percent owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Owner-occupied housing units with a mortgage!!Estimate","Massachusetts!!Percent owner-occupied housing units with a mortgage!!Estimate","Michigan!!Owner-occupied housing units with a mortgage!!Estimate","Michigan!!Percent owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Owner-occupied housing units with a mortgage!!Estimate","Minnesota!!Percent owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Owner-occupied housing units with a mortgage!!Estimate","Mississippi!!Percent owner-occupied housing units with a mortgage!!Estimate","Missouri!!Owner-occupied housing units with a mortgage!!Estimate","Missouri!!Percent owner-occupied housing units with a mortgage!!Estimate","Montana!!Owner-occupied housing units with a mortgage!!Estimate","Montana!!Percent owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Owner-occupied housing units with a mortgage!!Estimate","Nebraska!!Percent owner-occupied housing units with a mortgage!!Estimate","Nevada!!Owner-occupied housing units with a mortgage!!Estimate","Nevada!!Percent owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Owner-occupied housing units with a mortgage!!Estimate","New Hampshire!!Percent owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Owner-occupied housing units with a mortgage!!Estimate","New Jersey!!Percent owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Owner-occupied housing units with a mortgage!!Estimate","New Mexico!!Percent owner-occupied housing units with a mortgage!!Estimate","New York!!Owner-occupied housing units with a mortgage!!Estimate","New York!!Percent owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Owner-occupied housing units with a mortgage!!Estimate","North Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Owner-occupied housing units with a mortgage!!Estimate","North Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Ohio!!Owner-occupied housing units with a mortgage!!Estimate","Ohio!!Percent owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Owner-occupied housing units with a mortgage!!Estimate","Oklahoma!!Percent owner-occupied housing units with a mortgage!!Estimate","Oregon!!Owner-occupied housing units with a mortgage!!Estimate","Oregon!!Percent owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Owner-occupied housing units with a mortgage!!Estimate","Pennsylvania!!Percent owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Owner-occupied housing units with a mortgage!!Estimate","Rhode Island!!Percent owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Owner-occupied housing units with a mortgage!!Estimate","South Carolina!!Percent owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Owner-occupied housing units with a mortgage!!Estimate","South Dakota!!Percent owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Owner-occupied housing units with a mortgage!!Estimate","Tennessee!!Percent owner-occupied housing units with a mortgage!!Estimate","Texas!!Owner-occupied housing units with a mortgage!!Estimate","Texas!!Percent owner-occupied housing units with a mortgage!!Estimate","Utah!!Owner-occupied housing units with a mortgage!!Estimate","Utah!!Percent owner-occupied housing units with a mortgage!!Estimate","Vermont!!Owner-occupied housing units with a mortgage!!Estimate","Vermont!!Percent owner-occupied housing units with a mortgage!!Estimate","Virginia!!Owner-occupied housing units with a mortgage!!Estimate","Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Washington!!Owner-occupied housing units with a mortgage!!Estimate","Washington!!Percent owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Owner-occupied housing units with a mortgage!!Estimate","West Virginia!!Percent owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Owner-occupied housing units with a mortgage!!Estimate","Wisconsin!!Percent owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Owner-occupied housing units with a mortgage!!Estimate","Wyoming!!Percent owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Owner-occupied housing units with a mortgage!!Estimate","Puerto Rico!!Percent owner-occupied housing units with a mortgage!!Estimate"
"Owner-occupied housing units with a mortgage","721,996","721,996","99,293","99,293","1,087,076","1,087,076","403,551","403,551","4,978,989","4,978,989","1,042,379","1,042,379","593,009","593,009","173,325","173,325","92,531","92,531","2,948,085","2,948,085","1,585,366","1,585,366","180,304","180,304","301,624","301,624","2,004,309","2,004,309","1,174,571","1,174,571","543,781","543,781","438,405","438,405","667,344","667,344","598,175","598,175","250,451","250,451","1,070,608","1,070,608","1,124,858","1,124,858","1,685,281","1,685,281","1,041,172","1,041,172","363,937","363,937","993,671","993,671","166,940","166,940","304,241","304,241","436,321","436,321","249,449","249,449","1,366,281","1,366,281","285,674","285,674","2,374,462","2,374,462","1,670,406","1,670,406","103,355","103,355","1,940,200","1,940,200","533,145","533,145","685,197","685,197","2,069,571","2,069,571","166,570","166,570","804,981","804,981","133,395","133,395","1,028,238","1,028,238","3,464,948","3,464,948","506,690","506,690","114,853","114,853","1,429,344","1,429,344","1,252,895","1,252,895","247,795","247,795","1,005,737","1,005,737","99,193","99,193","308,374","308,374"
"    VALUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Less than $50,000","37,313","5.2%","1,651","1.7%","24,061","2.2%","27,919","6.9%","53,133","1.1%","14,344","1.4%","7,255","1.2%","4,091","2.4%","642","0.7%","61,843","2.1%","48,967","3.1%","930","0.5%","6,103","2.0%","61,645","3.1%","48,700","4.1%","23,875","4.4%","22,890","5.2%","31,057","4.7%","26,605","4.4%","6,637","2.7%","15,981","1.5%","13,770","1.2%","83,907","5.0%","21,467","2.1%","25,224","6.9%","39,787","4.0%","5,947","3.6%","10,061","3.3%","6,926","1.6%","4,723","1.9%","15,794","1.2%","9,394","3.3%","45,405","1.9%","47,714","2.9%","3,123","3.0%","79,409","4.1%","27,404","5.1%","8,973","1.3%","65,609","3.2%","2,654","1.6%","26,968","3.4%","5,467","4.1%","33,287","3.2%","110,808","3.2%","7,181","1.4%","1,958","1.7%","23,551","1.6%","13,767","1.1%","17,529","7.1%","20,868","2.1%","3,057","3.1%","4,636","1.5%"
"        $50,000 to $99,999","117,538","16.3%","2,048","2.1%","33,964","3.1%","78,883","19.5%","41,062","0.8%","15,751","1.5%","12,629","2.1%","3,590","2.1%","105","0.1%","149,464","5.1%","127,873","8.1%","572","0.3%","8,918","3.0%","225,356","11.2%","203,078","17.3%","90,708","16.7%","71,906","16.4%","102,074","15.3%","60,641","10.1%","22,862","9.1%","22,292","2.1%","7,676","0.7%","225,999","13.4%","51,196","4.9%","74,517","20.5%","143,716","14.5%","7,279","4.4%","32,251","10.6%","6,207","1.4%","5,527","2.2%","23,460","1.7%","25,917","9.1%","180,736","7.6%","168,171","10.1%","7,272","7.0%","346,709","17.9%","92,448","17.3%","9,805","1.4%","237,566","11.5%","2,136","1.3%","87,581","10.9%","12,480","9.4%","119,850","11.7%","302,793","8.7%","3,412","0.7%","5,891","5.1%","59,146","4.1%","14,281","1.1%","51,548","20.8%","92,977","9.2%","3,589","3.6%","73,755","23.9%"
"        $100,000 to $299,999","434,299","60.2%","46,594","46.9%","568,756","52.3%","239,507","59.3%","629,380","12.6%","236,614","22.7%","299,940","50.6%","96,395","55.6%","7,390","8.0%","1,592,522","54.0%","908,767","57.3%","13,445","7.5%","165,976","55.0%","1,081,778","54.0%","734,135","62.5%","332,747","61.2%","249,396","56.9%","414,141","62.1%","383,148","64.1%","152,303","60.8%","401,225","37.5%","263,889","23.5%","1,004,182","59.6%","576,467","55.4%","216,122","59.4%","600,296","60.4%","81,862","49.0%","200,753","66.0%","171,714","39.4%","122,358","49.1%","480,545","35.2%","184,857","64.7%","790,176","33.3%","965,580","57.8%","61,943","59.9%","1,183,527","61.0%","329,550","61.8%","214,278","31.3%","1,173,532","56.7%","89,697","53.8%","474,209","58.9%","82,957","62.2%","584,201","56.8%","1,936,821","55.9%","193,483","38.2%","68,622","59.7%","600,888","42.0%","320,143","25.6%","145,102","58.6%","642,603","63.9%","61,054","61.6%","210,797","68.4%"
"        $300,000 to $499,999","95,611","13.2%","39,175","39.5%","318,518","29.3%","42,668","10.6%","1,321,888","26.5%","454,644","43.6%","170,881","28.8%","54,154","31.2%","25,387","27.4%","800,015","27.1%","337,403","21.3%","38,216","21.2%","84,780","28.1%","427,116","21.3%","140,110","11.9%","75,244","13.8%","70,811","16.2%","88,112","13.2%","93,223","15.6%","50,090","20.0%","389,004","36.3%","416,655","37.0%","277,860","16.5%","291,311","28.0%","33,963","9.3%","155,730","15.7%","49,454","29.6%","46,936","15.4%","182,910","41.9%","90,139","36.1%","485,575","35.5%","47,820","16.7%","541,926","22.8%","345,802","20.7%","24,819","24.0%","252,018","13.0%","59,566","11.2%","287,386","41.9%","417,004","20.1%","51,479","30.9%","143,899","17.9%","25,519","19.1%","200,100","19.5%","773,056","22.3%","211,722","41.8%","30,576","26.6%","407,833","28.5%","473,083","37.8%","27,753","11.2%","192,371","19.1%","23,593","23.8%","14,017","4.5%"
"        $500,000 to $749,999","22,717","3.1%","7,885","7.9%","93,783","8.6%","9,428","2.3%","1,334,297","26.8%","214,796","20.6%","54,311","9.2%","9,900","5.7%","22,158","23.9%","209,522","7.1%","105,506","6.7%","54,209","30.1%","25,013","8.3%","127,132","6.3%","32,798","2.8%","14,650","2.7%","16,246","3.7%","21,980","3.3%","21,895","3.7%","12,393","4.9%","161,755","15.1%","255,880","22.7%","64,314","3.8%","70,819","6.8%","8,431","2.3%","35,493","3.6%","14,570","8.7%","9,470","3.1%","46,757","10.7%","20,230","8.1%","234,525","17.2%","10,684","3.7%","425,519","17.9%","93,749","5.6%","5,247","5.1%","53,517","2.8%","13,888","2.6%","116,270","17.0%","122,664","5.9%","14,699","8.8%","45,407","5.6%","4,744","3.6%","60,131","5.8%","217,196","6.3%","63,899","12.6%","5,825","5.1%","208,623","14.6%","234,144","18.7%","3,897","1.6%","40,355","4.0%","5,390","5.4%","2,443","0.8%"
"        $750,000 to $999,999","8,982","1.2%","1,264","1.3%","26,377","2.4%","3,030","0.8%","692,370","13.9%","62,018","5.9%","18,924","3.2%","2,234","1.3%","16,792","18.1%","65,964","2.2%","33,007","2.1%","45,278","25.1%","6,525","2.2%","45,087","2.2%","9,040","0.8%","4,247","0.8%","3,990","0.9%","5,906","0.9%","6,619","1.1%","2,920","1.2%","48,103","4.5%","91,200","8.1%","15,508","0.9%","17,977","1.7%","3,521","1.0%","10,661","1.1%","4,559","2.7%","2,595","0.9%","12,440","2.9%","3,406","1.4%","78,156","5.7%","4,031","1.4%","184,398","7.8%","28,944","1.7%","438","0.4%","14,173","0.7%","5,381","1.0%","31,468","4.6%","28,734","1.4%","3,379","2.0%","15,099","1.9%","1,119","0.8%","17,410","1.7%","59,710","1.7%","17,598","3.5%","1,077","0.9%","82,400","5.8%","110,756","8.8%","1,258","0.5%","9,762","1.0%","1,075","1.1%","1,625","0.5%"
"        $1,000,000 or more","5,536","0.8%","676","0.7%","21,617","2.0%","2,116","0.5%","906,859","18.2%","44,212","4.2%","29,069","4.9%","2,961","1.7%","20,057","21.7%","68,755","2.3%","23,843","1.5%","27,654","15.3%","4,309","1.4%","36,195","1.8%","6,710","0.6%","2,310","0.4%","3,166","0.7%","4,074","0.6%","6,044","1.0%","3,246","1.3%","32,248","3.0%","75,788","6.7%","13,511","0.8%","11,935","1.1%","2,159","0.6%","7,988","0.8%","3,269","2.0%","2,175","0.7%","9,367","2.1%","3,066","1.2%","48,226","3.5%","2,971","1.0%","206,302","8.7%","20,446","1.2%","513","0.5%","10,847","0.6%","4,908","0.9%","17,017","2.5%","24,462","1.2%","2,526","1.5%","11,818","1.5%","1,109","0.8%","13,259","1.3%","64,564","1.9%","9,395","1.9%","904","0.8%","46,903","3.3%","86,721","6.9%","708","0.3%","6,801","0.7%","1,435","1.4%","1,101","0.4%"
"        Median (dollars)","168,300","168,300","298,000","298,000","274,300","274,300","152,800","152,800","583,200","583,200","402,600","402,600","284,800","284,800","268,200","268,200","643,800","643,800","261,400","261,400","222,600","222,600","670,600","670,600","266,900","266,900","224,000","224,000","163,400","163,400","167,500","167,500","179,700","179,700","166,800","166,800","190,500","190,500","214,900","214,900","340,400","340,400","425,100","425,100","184,600","184,600","258,100","258,100","155,200","155,200","180,400","180,400","273,800","273,800","187,400","187,400","326,800","326,800","290,300","290,300","355,200","355,200","196,300","196,300","360,900","360,900","214,700","214,700","227,400","227,400","165,500","165,500","160,800","160,800","365,000","365,000","210,700","210,700","281,200","281,200","203,600","203,600","200,100","200,100","208,600","208,600","230,400","230,400","337,300","337,300","242,100","242,100","313,100","313,100","399,400","399,400","154,500","154,500","205,200","205,200","243,600","243,600","130,200","130,200"
